JobNum,SalesOrder,CustomerID,PartNum,Revision,JobStatus,Priority,QtyOrdered,QtyCompleted,QtyScrapped,PlannedStart,DueDate,CloseDate,Notes
J26-00022,SO26-79519,CUST0006,VALVE-9317,B,Closed,Hot,10,9,0,2026-01-01T10:24:07.730030+00:00,2026-01-04T15:20:45.467764+00:00,2026-01-02T07:01:02.087076+00:00,
J26-00023,SO26-93986,CUST0027,HOUS-5010,A,Closed,Normal,7,6,0,2026-01-01T10:24:59.622422+00:00,2026-01-04T19:51:12.230497+00:00,2026-01-01T18:06:44.092961+00:00,Customer expedite
J26-00024,SO26-78099,CUST0017,ASSY-2235,A,Closed,Normal,112,107,0,2026-01-01T13:05:51.495030+00:00,2026-01-04T06:29:14.911840+00:00,2026-01-02T11:00:39.320318+00:00,
J26-00025,SO26-45525,CUST0011,PN-2163,C,Closed,Normal,56,49,0,2026-01-01T13:07:15.588404+00:00,2026-01-05T10:47:17.204708+00:00,2026-01-02T00:54:46.807145+00:00,Engineering hold
J26-00026,SO26-76707,CUST0020,ASSY-2545,D,Closed,Normal,5,4,0,2026-01-01T12:01:47.948178+00:00,2026-01-02T04:43:14.006357+00:00,2026-01-02T12:55:05.379432+00:00,
J26-00027,SO26-20800,CUST0027,PN-4814,A,Closed,Normal,40,37,1,2026-01-01T14:00:41.214639+00:00,2026-01-07T13:33:53.243442+00:00,2026-01-01T23:08:52.633133+00:00,
J26-00028,SO26-30074,CUST0030,SHAFT-5557,C,Closed,Normal,2,2,0,2026-01-01T13:30:25.205156+00:00,2026-01-07T00:16:57.361947+00:00,2026-01-02T11:16:07.471578+00:00,Engineering hold
J26-00029,SO26-94246,CUST0010,HOUS-4257,B,Closed,Normal,4,3,0,2026-01-01T08:38:03.931168+00:00,2026-01-02T23:32:18.853439+00:00,2026-01-02T00:51:44.485426+00:00,Use new fixture
J26-00030,SO26-63330,CUST0017,PN-4814,A,Closed,Rush,84,76,0,2026-01-01T09:52:21.416157+00:00,2026-01-03T13:12:00.708071+00:00,2026-01-02T13:18:07.025947+00:00,First article required
J26-00031,SO26-96497,CUST0016,PLATE-9935,A,Closed,Hot,5,5,0,2026-01-01T10:06:34.343123+00:00,2026-01-02T04:09:23.173282+00:00,2026-01-02T06:53:56.455124+00:00,
J26-00032,SO26-27087,CUST0009,VALVE-1916,B,Closed,Normal,10,10,0,2026-01-01T15:14:04.621665+00:00,2026-01-04T01:13:47.427131+00:00,2026-01-02T00:20:54.122372+00:00,Engineering hold
J26-00033,SO26-61649,CUST0001,PN-2519,A,Closed,Hot,27,27,1,2026-01-01T13:31:36.763446+00:00,2026-01-05T20:23:51.633962+00:00,2026-01-02T09:52:00.965031+00:00,
J26-00034,SO26-94526,CUST0030,ASSY-5339,A,Closed,Normal,1,1,0,2026-01-01T12:45:22.629058+00:00,2026-01-02T02:38:01.511012+00:00,2026-01-01T18:15:10.364069+00:00,Customer expedite
J26-00035,SO26-86449,CUST0020,VALVE-6038,D,Closed,Normal,40,36,1,2026-01-01T14:13:43.244973+00:00,2026-01-03T01:03:53.316662+00:00,2026-01-02T00:53:47.028317+00:00,Use new fixture
J26-00036,SO26-68954,CUST0017,PN-1488,B,Closed,Normal,28,25,1,2026-01-01T11:21:26.545216+00:00,2026-01-03T17:26:05.253271+00:00,2026-01-02T13:35:28.869037+00:00,
J26-00037,SO26-96156,CUST0029,ASSY-8787,B,Closed,Hot,23,20,1,2026-01-01T14:39:01.591212+00:00,2026-01-06T06:38:21.260932+00:00,2026-01-02T14:12:44.303971+00:00,Customer expedite
J26-00038,SO26-11589,CUST0010,VALVE-6168,D,Closed,Normal,26,22,0,2026-01-01T10:35:41.791177+00:00,2026-01-04T11:55:16.560150+00:00,2026-01-02T11:39:01.643514+00:00,
J26-00039,SO26-33478,CUST0006,ASSY-9279,A,Closed,Normal,73,59,1,2026-01-01T12:01:19.114484+00:00,2026-01-04T08:43:02.238219+00:00,2026-01-02T02:45:48.540644+00:00,First article required
J26-00040,SO26-72507,CUST0025,SHAFT-2604,A,Closed,Normal,24,23,1,2026-01-01T16:22:44.278169+00:00,2026-01-01T20:41:52.035647+00:00,2026-01-02T14:10:08.647948+00:00,
J26-00041,SO26-55671,CUST0003,ASSY-4139,D,Closed,Normal,16,14,0,2026-01-01T14:20:50.106564+00:00,2026-01-03T08:31:03.295186+00:00,2026-01-02T02:17:33.205944+00:00,
J26-00042,SO26-49121,CUST0012,PLATE-6559,A,Closed,Normal,23,22,0,2026-01-01T13:52:11.567615+00:00,2026-01-03T16:32:38.943355+00:00,2026-01-02T01:23:36.783907+00:00,
J26-00043,SO26-28020,CUST0028,PLATE-8527,B,Closed,Normal,14,12,0,2026-01-01T13:21:14.807465+00:00,2026-01-05T11:52:38.087359+00:00,2026-01-02T09:39:50.529086+00:00,Use new fixture
J26-00044,SO26-52998,CUST0026,BRKT-5552,B,Closed,Rush,15,13,0,2026-01-01T16:50:12.271541+00:00,2026-01-03T01:48:28.793143+00:00,2026-01-02T18:12:02.388931+00:00,
J26-00045,SO26-70142,CUST0024,PLATE-9797,A,Closed,Normal,12,11,0,2026-01-01T14:35:01.511189+00:00,2026-01-03T09:41:50.225105+00:00,2026-01-02T15:34:12.026716+00:00,Customer expedite
J26-00046,SO26-45060,CUST0017,SHAFT-7252,D,Closed,Hot,9,8,0,2026-01-01T19:38:56.238452+00:00,2026-01-03T12:43:35.026936+00:00,2026-01-02T14:29:38.233741+00:00,First article required
J26-00047,SO26-82827,CUST0002,SHAFT-4611,D,Closed,Normal,46,40,0,2026-01-01T14:11:36.674505+00:00,2026-01-02T06:55:20.911703+00:00,2026-01-01T23:42:47.092007+00:00,
J26-00048,SO26-70710,CUST0016,VALVE-6925,A,Closed,Normal,64,57,1,2026-01-01T15:52:57.348127+00:00,2026-01-06T01:56:17.265087+00:00,2026-01-02T20:52:48.742769+00:00,
J26-00049,SO26-70686,CUST0027,PN-4770,A,Closed,Hot,23,20,0,2026-01-01T15:25:06.810632+00:00,2026-01-02T08:06:45.277422+00:00,2026-01-02T10:42:56.397460+00:00,
J26-00050,SO26-73610,CUST0015,VALVE-1916,B,Closed,Normal,21,17,1,2026-01-01T20:31:31.800547+00:00,2026-01-04T18:11:36.495856+00:00,2026-01-02T09:30:04.882272+00:00,
J26-00051,SO26-40816,CUST0018,VALVE-1106,E,Closed,Normal,1,1,0,2026-01-01T18:29:12.087941+00:00,2026-01-05T03:21:30.588518+00:00,2026-01-02T19:34:14.887433+00:00,
J26-00052,SO26-18640,CUST0025,ASSY-5040,E,Closed,Normal,11,9,0,2026-01-01T15:46:48.600139+00:00,2026-01-05T23:40:31.280453+00:00,2026-01-02T06:43:45.669513+00:00,
J26-00053,SO26-12581,CUST0021,VALVE-3615,A,Closed,Normal,3,3,0,2026-01-01T17:17:30.089330+00:00,2026-01-03T19:28:08.280180+00:00,2026-01-02T03:39:34.051764+00:00,First article required
J26-00054,SO26-91471,CUST0029,HOUS-2743,A,Closed,Hot,15,13,0,2026-01-01T19:09:38.970161+00:00,2026-01-03T18:25:06.221468+00:00,2026-01-02T19:34:25.478939+00:00,
J26-00055,SO26-90764,CUST0011,VALVE-6168,D,Closed,Hot,2,2,0,2026-01-01T20:51:48.675799+00:00,2026-01-04T23:51:08.208105+00:00,2026-01-02T05:00:09.227818+00:00,Customer expedite
J26-00056,SO26-80014,CUST0005,VALVE-9317,B,Closed,Normal,27,24,1,2026-01-01T16:23:54.282179+00:00,2026-01-05T11:22:28.982699+00:00,2026-01-02T16:18:03.424065+00:00,
J26-00057,SO26-13255,CUST0014,ASSY-1949,C,Closed,Rush,7,7,0,2026-01-01T19:17:07.809202+00:00,2026-01-06T02:56:10.985760+00:00,2026-01-02T20:56:43.828025+00:00,Customer expedite
J26-00058,SO26-29539,CUST0019,PLATE-4598,A,Closed,Rush,19,18,0,2026-01-01T22:07:20.392477+00:00,2026-01-02T22:02:18.235490+00:00,2026-01-02T18:07:41.181993+00:00,Engineering hold
J26-00059,SO26-68870,CUST0012,ASSY-5339,A,Closed,Hot,60,51,1,2026-01-01T17:55:49.249103+00:00,2026-01-07T04:30:18.266385+00:00,2026-01-03T02:55:39.172901+00:00,Use new fixture
J26-00060,SO26-67021,CUST0009,BRKT-6635,A,Closed,Rush,102,85,1,2026-01-01T22:04:28.166099+00:00,2026-01-07T05:53:24.692706+00:00,2026-01-02T04:08:59.335792+00:00,
J26-00061,SO26-77384,CUST0021,ASSY-8744,B,Closed,Normal,444,380,3,2026-01-01T17:47:53.470905+00:00,2026-01-05T23:31:44.822466+00:00,2026-01-03T01:37:53.976242+00:00,
J26-00062,SO26-45944,CUST0015,VALVE-1711,B,Closed,Normal,11,9,0,2026-01-01T21:29:12.275739+00:00,2026-01-02T12:50:55.136216+00:00,2026-01-02T11:33:24.045646+00:00,Use new fixture
J26-00063,SO26-38820,CUST0003,ASSY-8573,A,Closed,Normal,12,11,0,2026-01-02T00:26:40.159100+00:00,2026-01-06T14:02:40.203345+00:00,2026-01-02T22:21:23.724976+00:00,
J26-00064,SO26-41417,CUST0005,ASSY-9786,C,Closed,Normal,6,5,0,2026-01-01T18:59:34.443638+00:00,2026-01-07T18:26:12.805551+00:00,2026-01-02T11:20:04.410382+00:00,
J26-00065,SO26-17566,CUST0026,ASSY-1949,C,Closed,Normal,6,5,0,2026-01-02T00:04:14.841961+00:00,2026-01-02T23:40:35.675277+00:00,2026-01-03T03:44:59.151316+00:00,Customer expedite
J26-00066,SO26-11657,CUST0018,ASSY-5339,A,Closed,Normal,1,1,0,2026-01-01T22:15:17.317756+00:00,2026-01-07T01:49:26.537964+00:00,2026-01-02T07:53:09.383350+00:00,First article required
J26-00067,SO26-16782,CUST0009,ASSY-5040,E,Closed,Normal,26,23,0,2026-01-01T22:32:13.280971+00:00,2026-01-06T08:50:51.146043+00:00,2026-01-02T22:49:36.056729+00:00,Customer expedite
J26-00068,SO26-98860,CUST0001,BRKT-9645,A,Closed,Normal,10,9,0,2026-01-02T03:32:17.172150+00:00,2026-01-02T05:29:51.323312+00:00,2026-01-02T15:22:36.955977+00:00,
J26-00069,SO26-56418,CUST0020,ASSY-8573,A,Closed,Rush,50,40,0,2026-01-01T22:50:39.783782+00:00,2026-01-05T18:12:59.439925+00:00,2026-01-03T01:17:00.705698+00:00,
J26-00070,SO26-69754,CUST0022,VALVE-6925,A,Closed,Normal,114,98,1,2026-01-02T02:41:41.781388+00:00,2026-01-03T22:32:53.957596+00:00,2026-01-03T07:30:58.181849+00:00,
J26-00071,SO26-71158,CUST0012,SHAFT-5554,A,Closed,Normal,6,6,0,2026-01-02T03:53:04.984648+00:00,2026-01-04T13:23:25.496624+00:00,2026-01-02T23:35:45.703705+00:00,
J26-00072,SO26-17493,CUST0013,PLATE-5315,C,Closed,Normal,68,59,2,2026-01-02T02:21:16.086187+00:00,2026-01-04T22:43:31.369177+00:00,2026-01-02T23:44:53.935254+00:00,
J26-00073,SO26-70739,CUST0023,PLATE-2169,A,Closed,Normal,44,42,1,2026-01-02T00:53:23.739880+00:00,2026-01-02T22:59:10.357294+00:00,2026-01-02T23:29:49.935306+00:00,Customer expedite
J26-00074,SO26-23029,CUST0001,VALVE-3060,A,Closed,Hot,35,30,1,2026-01-02T03:42:39.905678+00:00,2026-01-06T02:41:37.554446+00:00,2026-01-02T14:26:48.936003+00:00,
J26-00075,SO26-50696,CUST0022,ASSY-4527,E,Closed,Hot,31,28,0,2026-01-01T23:26:47.555812+00:00,2026-01-04T21:35:44.890106+00:00,2026-01-02T10:31:15.385967+00:00,First article required
J26-00076,SO26-72217,CUST0016,PN-7596,B,Closed,Normal,68,56,1,2026-01-02T03:22:52.035657+00:00,2026-01-02T20:11:16.332243+00:00,2026-01-02T18:52:51.060648+00:00,
J26-00077,SO26-96126,CUST0010,HOUS-8668,A,Closed,Normal,33,29,0,2026-01-02T06:00:57.476421+00:00,2026-01-06T08:26:43.605326+00:00,2026-01-02T23:43:45.719949+00:00,Customer expedite
J26-00078,SO26-24997,CUST0003,ASSY-9786,C,Closed,Normal,28,23,1,2026-01-02T03:01:24.956146+00:00,2026-01-06T03:45:11.483981+00:00,2026-01-03T00:59:33.073964+00:00,
J26-00079,SO26-39863,CUST0019,VALVE-6573,C,Closed,Normal,3,3,0,2026-01-02T02:54:06.771608+00:00,2026-01-02T07:38:36.794893+00:00,2026-01-02T21:26:58.519235+00:00,
J26-00080,SO26-92542,CUST0023,BRKT-9645,A,Closed,Normal,23,22,0,2026-01-02T02:42:11.394899+00:00,2026-01-06T08:35:49.347950+00:00,2026-01-03T07:35:05.517756+00:00,Engineering hold
J26-00081,SO26-61415,CUST0015,ASSY-5339,A,Closed,Hot,27,23,1,2026-01-02T03:57:33.800912+00:00,2026-01-03T20:23:13.830978+00:00,2026-01-03T04:43:58.570948+00:00,
J26-00082,SO26-81916,CUST0007,VALVE-7932,A,Closed,Normal,9,7,0,2026-01-02T06:24:26.463487+00:00,2026-01-06T07:05:50.869732+00:00,2026-01-03T01:42:23.400396+00:00,
J26-00083,SO26-15596,CUST0025,HOUS-1188,C,Closed,Normal,4,3,0,2026-01-02T04:31:43.753183+00:00,2026-01-05T14:34:17.295547+00:00,2026-01-02T11:26:39.370911+00:00,
J26-00084,SO26-38229,CUST0013,PN-2163,C,Closed,Normal,50,47,1,2026-01-02T01:59:58.479775+00:00,2026-01-03T23:37:52.353990+00:00,2026-01-02T15:58:10.307177+00:00,First article required
J26-00085,SO26-68866,CUST0029,VALVE-6514,A,Closed,Normal,18,18,0,2026-01-02T05:17:39.525531+00:00,2026-01-08T04:22:15.139133+00:00,2026-01-02T13:01:29.684319+00:00,Engineering hold
J26-00086,SO26-80934,CUST0022,BRKT-9645,A,Closed,Rush,12,10,0,2026-01-02T04:14:42.457290+00:00,2026-01-04T19:14:53.804089+00:00,2026-01-02T15:07:17.028903+00:00,
J26-00087,SO26-96654,CUST0012,PN-4814,A,Closed,Normal,85,75,2,2026-01-02T03:25:49.826402+00:00,2026-01-05T08:39:30.281701+00:00,2026-01-03T08:06:30.042352+00:00,
J26-00088,SO26-10153,CUST0013,PLATE-2169,A,Closed,Normal,15,14,0,2026-01-02T07:04:36.140805+00:00,2026-01-07T22:10:22.438234+00:00,2026-01-03T01:07:03.946346+00:00,Use new fixture
J26-00089,SO26-74148,CUST0028,SHAFT-6977,C,Closed,Normal,104,97,3,2026-01-02T05:02:31.010585+00:00,2026-01-06T14:27:48.615155+00:00,2026-01-02T11:25:41.831820+00:00,
J26-00090,SO26-95643,CUST0028,VALVE-1711,B,Closed,Normal,15,13,0,2026-01-02T04:51:19.428324+00:00,2026-01-08T01:26:31.305419+00:00,2026-01-02T13:55:25.804990+00:00,
J26-00091,SO26-72514,CUST0018,PN-2163,C,Closed,Normal,2,2,0,2026-01-02T03:33:23.261528+00:00,2026-01-01T07:52:17.080048+00:00,2026-01-02T22:31:50.341171+00:00,
J26-00092,SO26-56330,CUST0001,BRKT-7939,D,Closed,Normal,46,40,1,2026-01-02T07:36:28.813772+00:00,2026-01-05T10:36:55.021125+00:00,2026-01-02T19:19:11.633930+00:00,Engineering hold
J26-00093,SO26-49148,CUST0028,ASSY-2679,D,Closed,Normal,7,6,0,2026-01-02T05:21:08.126150+00:00,2026-01-04T13:23:05.872219+00:00,2026-01-03T07:38:34.043046+00:00,
J26-00094,SO26-87814,CUST0019,VALVE-5889,A,Closed,Normal,11,10,0,2026-01-02T05:34:17.405185+00:00,2026-01-06T21:46:17.752177+00:00,2026-01-03T01:55:10.054356+00:00,
J26-00095,SO26-49619,CUST0022,PLATE-6313,A,Closed,Hot,6,5,0,2026-01-02T04:01:38.245479+00:00,2026-01-01T07:49:30.068818+00:00,2026-01-02T16:31:00.257637+00:00,Use new fixture
J26-00096,SO26-91515,CUST0021,PN-7596,B,Closed,Normal,13,11,0,2026-01-02T05:04:23.374662+00:00,2026-01-05T03:27:12.032472+00:00,2026-01-03T09:00:56.534191+00:00,Use new fixture
J26-00097,SO26-31876,CUST0019,VALVE-7916,E,Closed,Rush,5,5,0,2026-01-02T07:21:55.419408+00:00,2026-01-06T21:37:03.361555+00:00,2026-01-02T17:40:21.767405+00:00,Use new fixture
J26-00098,SO26-41213,CUST0012,VALVE-1771,A,Closed,Normal,12,10,0,2026-01-03T12:57:42.035996+00:00,2026-01-05T13:43:18.070955+00:00,2026-01-04T07:57:10.493241+00:00,Customer expedite
J26-00099,SO26-85020,CUST0006,HOUS-4608,B,Closed,Normal,34,31,1,2026-01-03T09:12:04.789840+00:00,2026-01-03T11:39:20.609373+00:00,2026-01-03T22:12:46.134430+00:00,
J26-00100,SO26-36505,CUST0024,ASSY-8749,C,Closed,Normal,68,57,0,2026-01-03T14:13:08.420081+00:00,2026-01-06T04:14:22.634993+00:00,2026-01-04T10:10:39.315541+00:00,
J26-00101,SO26-83495,CUST0010,ASSY-5040,E,Closed,Normal,5,4,0,2026-01-03T15:26:34.862159+00:00,2026-01-08T23:50:37.149365+00:00,2026-01-04T01:26:25.894725+00:00,Customer expedite
J26-00102,SO26-68032,CUST0021,HOUS-1434,E,Closed,Rush,31,26,0,2026-01-03T14:17:02.713165+00:00,2026-01-09T09:21:28.390520+00:00,2026-01-04T12:11:11.943224+00:00,Use new fixture
J26-00103,SO26-80309,CUST0026,VALVE-3060,A,Closed,Normal,22,21,1,2026-01-03T09:36:58.539136+00:00,2026-01-04T16:11:12.207929+00:00,2026-01-04T18:14:50.951063+00:00,
J26-00104,SO26-38647,CUST0029,VALVE-6514,A,Closed,Normal,17,17,0,2026-01-03T16:35:45.892393+00:00,2026-01-09T16:10:27.253671+00:00,2026-01-04T10:31:50.101874+00:00,
J26-00105,SO26-68901,CUST0028,HOUS-5010,A,Closed,Normal,9,9,0,2026-01-03T10:34:53.968824+00:00,2026-01-05T23:01:59.556412+00:00,2026-01-04T00:26:37.210620+00:00,
J26-00106,SO26-36498,CUST0024,PN-7596,B,Closed,Normal,202,173,5,2026-01-03T14:16:19.855807+00:00,2026-01-09T06:20:03.855328+00:00,2026-01-04T14:16:05.015261+00:00,
J26-00107,SO26-25332,CUST0024,ASSY-1949,C,Closed,Normal,40,33,1,2026-01-03T13:11:58.694647+00:00,2026-01-05T03:07:30.566990+00:00,2026-01-03T23:42:17.918825+00:00,Customer expedite
J26-00108,SO26-45790,CUST0023,PLATE-2612,C,Closed,Hot,9,9,0,2026-01-03T15:11:53.455717+00:00,2026-01-07T08:43:17.486062+00:00,2026-01-04T11:55:36.907237+00:00,
J26-00109,SO26-56451,CUST0027,PN-4733,A,Closed,Rush,147,144,3,2026-01-03T13:44:00.535922+00:00,2026-01-04T17:53:36.330545+00:00,2026-01-04T23:05:47.351120+00:00,
J26-00110,SO26-28733,CUST0021,SHAFT-8517,A,Closed,Hot,25,21,0,2026-01-03T16:15:17.970953+00:00,2026-01-08T18:08:44.428225+00:00,2026-01-04T16:59:33.372708+00:00,
J26-00111,SO26-52929,CUST0013,ASSY-2679,D,Closed,Normal,2,2,0,2026-01-03T15:56:33.887818+00:00,2026-01-08T09:40:11.986863+00:00,2026-01-04T16:18:29.512333+00:00,
J26-00112,SO26-10595,CUST0022,PN-2163,C,Closed,Normal,10,9,0,2026-01-03T14:35:03.254583+00:00,2026-01-09T05:16:42.635974+00:00,2026-01-04T20:38:00.383602+00:00,First article required
J26-00113,SO26-66947,CUST0003,HOUS-4608,B,Closed,Normal,44,42,1,2026-01-03T18:55:44.990565+00:00,2026-01-08T11:22:32.460643+00:00,2026-01-04T06:28:31.534476+00:00,First article required
J26-00114,SO26-13771,CUST0020,PN-4582,C,Closed,Hot,4,4,0,2026-01-03T14:40:57.507032+00:00,2026-01-04T21:38:54.222000+00:00,2026-01-03T21:48:35.185842+00:00,First article required
J26-00115,SO26-63019,CUST0022,ASSY-4139,D,Closed,Normal,2,2,0,2026-01-03T14:05:12.018612+00:00,2026-01-05T13:33:15.390580+00:00,2026-01-04T05:27:19.621690+00:00,First article required
J26-00116,SO26-31577,CUST0025,HOUS-6155,B,Closed,Normal,16,16,0,2026-01-03T17:07:07.664894+00:00,2026-01-05T20:41:55.881572+00:00,2026-01-04T12:03:53.454605+00:00,Customer expedite
J26-00117,SO26-93245,CUST0016,ASSY-8573,A,Closed,Normal,40,37,1,2026-01-03T15:21:20.482822+00:00,2026-01-04T16:54:02.991969+00:00,2026-01-04T16:39:08.157560+00:00,
J26-00118,SO26-44268,CUST0004,BRKT-4593,A,Closed,Rush,31,30,1,2026-01-03T17:32:23.216398+00:00,2026-01-08T21:39:59.907865+00:00,2026-01-04T14:44:26.434726+00:00,First article required
J26-00119,SO26-45418,CUST0008,SHAFT-3296,D,Closed,Normal,8,7,0,2026-01-03T20:58:15.873342+00:00,2026-01-04T22:35:28.747972+00:00,2026-01-04T03:34:49.665730+00:00,
J26-00120,SO26-17213,CUST0006,PN-7596,B,Closed,Normal,3,3,0,2026-01-03T18:34:09.384291+00:00,2026-01-09T14:10:41.348509+00:00,2026-01-04T06:31:58.778936+00:00,Customer expedite
J26-00121,SO26-12739,CUST0012,VALVE-7916,E,Closed,Normal,18,15,0,2026-01-03T20:53:59.306783+00:00,2026-01-03T12:24:07.602956+00:00,2026-01-04T11:38:12.195192+00:00,First article required
J26-00122,SO26-26709,CUST0026,BRKT-4593,A,Closed,Normal,30,26,1,2026-01-03T17:04:08.936742+00:00,2026-01-04T17:58:47.730191+00:00,2026-01-04T03:35:29.943166+00:00,First article required
J26-00123,SO26-17233,CUST0019,VALVE-6514,A,Closed,Normal,65,54,2,2026-01-03T21:00:07.019665+00:00,2026-01-07T08:22:17.877687+00:00,2026-01-04T06:59:20.581110+00:00,Customer expedite
J26-00124,SO26-26934,CUST0008,SHAFT-2291,D,Closed,Normal,47,41,1,2026-01-03T22:26:54.709485+00:00,2026-01-08T10:48:14.273585+00:00,2026-01-04T23:30:34.112733+00:00,
J26-00125,SO26-67654,CUST0006,ASSY-4527,E,Closed,Hot,91,76,1,2026-01-03T19:14:25.599174+00:00,2026-01-04T16:19:07.581991+00:00,2026-01-04T19:51:29.551837+00:00,
J26-00126,SO26-13196,CUST0026,PLATE-1964,A,Closed,Normal,17,17,0,2026-01-03T22:59:21.488327+00:00,2026-01-04T16:48:25.337775+00:00,2026-01-04T04:51:26.403172+00:00,
J26-00127,SO26-44457,CUST0023,ASSY-5339,A,Closed,Normal,12,11,0,2026-01-03T20:42:57.928876+00:00,2026-01-05T18:13:51.192171+00:00,2026-01-04T17:10:12.533214+00:00,Use new fixture
J26-00128,SO26-92809,CUST0009,PLATE-6107,A,Closed,Hot,98,96,1,2026-01-03T23:26:07.549039+00:00,2026-01-04T05:52:23.855692+00:00,2026-01-05T03:11:14.383103+00:00,
J26-00129,SO26-73001,CUST0008,HOUS-8668,A,Closed,Normal,4,4,0,2026-01-03T23:53:48.985562+00:00,2026-01-09T13:47:45.646305+00:00,2026-01-04T10:31:14.157484+00:00,First article required
J26-00130,SO26-91867,CUST0016,VALVE-2654,D,Closed,Rush,58,49,1,2026-01-04T02:27:01.103470+00:00,2026-01-06T20:40:43.398775+00:00,2026-01-04T13:24:36.380034+00:00,
