LaborID,EmployeeID,JobNum,OperSeq,WorkCenterID,Machine,ClockIn,ClockOut,LaborHrs,SetupHrs,RunHrs,IndirectCode,Shift,Comment
L0000017,EMP0013,J26-00005,10,WC-PREP,,2025-12-31T19:16:50.862374+00:00,2025-12-31T19:44:09.156961+00:00,1.98,0.16,1.37,,A,Deburr edges
L0000018,EMP0015,J26-00005,20,WC005,22 DMU NLX 2500 old,2025-12-31T21:31:27+00:00,2025-12-31T22:44:03+00:00,1.21,1.21,0.0,,C,Program load
L0000019,EMP0003,J26-00005,20,WC005,22 DMU NLX 2500 old,2025-12-31T22:44:03+00:00,2026-01-01T00:25:02+00:00,1.8,0.0,1.33,,B,Run production
L0000020,EMP0012,J26-00005,30,WC-INSP,,2026-01-01T03:12:45.849309+00:00,2026-01-01T03:28:51.809187+00:00,1.44,0.0,2.29,,A,Final inspect
L0000021,EMP0015,J26-00006,10,WC-PREP,,2025-12-31T21:54:51.637058+00:00,2025-12-31T23:38:34.346665+00:00,0.99,0.21,1.56,,C,
L0000022,EMP0001,J26-00006,20,WC010,66 DMU NLX 2500,2025-12-31T22:35:55+00:00,2025-12-31T22:48:31+00:00,0.21,0.21,0.0,,C,Tool touch-off
L0000023,EMP0006,J26-00006,20,WC010,66 DMU NLX 2500,2025-12-31T22:48:31+00:00,2026-01-01T00:07:56+00:00,1.34,0.0,1.02,,A,Adjust offsets
L0000024,EMP0005,J26-00006,30,WC-INSP,,2026-01-01T02:53:56.589259+00:00,2026-01-01T05:25:29.465838+00:00,2.72,0.0,1.55,,B,Pack & label
L0000025,EMP0007,J26-00007,10,WC-PREP,,2025-12-31T19:34:57.737877+00:00,2025-12-31T20:22:23.097659+00:00,2.27,0.04,1.72,,A,Deburr edges
L0000026,EMP0001,J26-00007,20,WC008,41 DMU NLX2500,2025-12-31T21:59:38+00:00,2025-12-31T23:09:14+00:00,1.16,1.16,0.0,,C,Program load
L0000027,EMP0001,J26-00007,20,WC008,41 DMU NLX2500,2025-12-31T23:09:14+00:00,2025-12-31T23:20:23+00:00,0.49,0.0,0.19,,C,Adjust offsets
L0000028,EMP0005,J26-00007,30,WC-INSP,,2026-01-01T05:51:54.248825+00:00,2026-01-01T08:29:08.337058+00:00,0.31,0.0,2.51,,B,Create CoC
L0000029,EMP0015,J26-00008,10,WC-PREP,,2025-12-31T21:33:48.945875+00:00,2025-12-31T22:04:42.245396+00:00,1.77,0.24,1.21,,C,Deburr edges
L0000030,EMP0007,J26-00008,20,WC008,41 DMU NLX2500,2025-12-31T22:46:03+00:00,2025-12-31T23:34:39+00:00,0.81,0.81,0.0,,A,Setup & fixture
L0000031,EMP0003,J26-00008,20,WC008,41 DMU NLX2500,2025-12-31T23:34:39+00:00,2025-12-31T23:52:48+00:00,0.8,0.0,0.3,,B,Run production
L0000032,EMP0005,J26-00008,30,WC-INSP,,2026-01-01T01:52:35.511755+00:00,2026-01-01T04:14:07.033424+00:00,0.3,0.0,0.73,,B,Create CoC
L0000033,EMP0006,J26-00009,10,WC-PREP,,2025-12-31T21:34:26.205119+00:00,2025-12-31T22:34:03.674006+00:00,2.26,0.25,1.87,,A,
L0000034,EMP0001,J26-00009,20,WC008,41 DMU NLX2500,2026-01-01T00:17:49+00:00,2026-01-01T00:35:49+00:00,0.3,0.3,0.0,,C,Setup & fixture
L0000035,EMP0015,J26-00009,20,WC008,41 DMU NLX2500,2026-01-01T00:35:49+00:00,2026-01-01T01:12:12+00:00,0.98,0.0,0.56,,C,Run production
L0000036,EMP0005,J26-00009,30,WC-INSP,,2026-01-01T12:49:17.956086+00:00,2026-01-01T13:32:28.053284+00:00,0.84,0.0,1.63,,B,Pack & label
L0000037,EMP0011,J26-00010,10,WC-PREP,,2026-01-01T00:57:33.601889+00:00,2026-01-01T02:32:26.691602+00:00,1.85,0.33,0.67,,B,Prep lot
L0000038,EMP0011,J26-00010,20,WC008,41 DMU NLX2500,2026-01-01T00:10:19+00:00,2026-01-01T01:33:07+00:00,1.38,1.38,0.0,,B,Setup & fixture
L0000039,EMP0014,J26-00010,20,WC008,41 DMU NLX2500,2026-01-01T01:33:07+00:00,2026-01-01T02:37:13+00:00,1.36,0.0,0.81,,A,Run production
L0000040,EMP0006,J26-00010,30,WC-INSP,,2026-01-01T13:54:54.460183+00:00,2026-01-01T14:19:04.416206+00:00,1.96,0.0,1.95,,A,Create CoC
L0000041,EMP0001,J26-00011,10,WC-PREP,,2025-12-31T22:42:25.333625+00:00,2026-01-01T00:25:43.230793+00:00,1.43,0.35,1.76,,C,
L0000042,EMP0014,J26-00011,20,WC008,41 DMU NLX2500,2026-01-01T02:01:57+00:00,2026-01-01T03:04:57+00:00,1.05,1.05,0.0,,A,Setup & fixture
L0000043,EMP0009,J26-00011,20,WC008,41 DMU NLX2500,2026-01-01T03:04:57+00:00,2026-01-01T03:23:06+00:00,0.56,0.0,0.3,,A,Adjust offsets
L0000044,EMP0012,J26-00011,30,WC-INSP,,2026-01-01T12:00:55.516821+00:00,2026-01-01T12:51:18.340614+00:00,0.41,0.0,2.64,,A,Final inspect
L0000045,EMP0001,J26-00012,10,WC-PREP,,2026-01-01T01:35:49.775383+00:00,2026-01-01T03:22:16.281656+00:00,1.31,0.09,0.98,MATERIAL,C,
L0000046,EMP0014,J26-00012,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T04:00:18+00:00,2026-01-01T05:15:18+00:00,1.25,1.25,0.0,,A,Setup & fixture
L0000047,EMP0014,J26-00012,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T05:15:18+00:00,2026-01-01T06:37:55+00:00,1.48,0.0,1.18,,A,In-process check
L0000048,EMP0001,J26-00012,30,WC-INSP,,2026-01-01T13:35:05.723652+00:00,2026-01-01T15:38:24.946144+00:00,0.69,0.0,1.51,,C,Create CoC
L0000049,EMP0012,J26-00013,10,WC-PREP,,2026-01-01T02:30:53.707927+00:00,2026-01-01T02:46:35.358722+00:00,0.65,0.12,1.73,,A,Cut stock
L0000050,EMP0001,J26-00013,20,WC001,102 HAAS VF4,2026-01-01T05:07:07+00:00,2026-01-01T05:40:43+00:00,0.56,0.56,0.0,,C,Program load
L0000051,EMP0014,J26-00013,20,WC001,102 HAAS VF4,2026-01-01T05:40:43+00:00,2026-01-01T07:20:17+00:00,1.24,0.0,1.14,,A,In-process check
L0000052,EMP0005,J26-00013,30,WC-INSP,,2026-01-01T18:55:10.127686+00:00,2026-01-01T19:07:59.922694+00:00,1.5,0.0,2.64,,B,Pack & label
L0000053,EMP0003,J26-00014,10,WC-PREP,,2026-01-01T01:43:07.270673+00:00,2026-01-01T03:16:17.818595+00:00,1.13,0.26,1.13,,B,Cut stock
L0000054,EMP0003,J26-00014,20,WC002,103 HAAS VF4,2026-01-01T05:48:33+00:00,2026-01-01T06:36:33+00:00,0.8,0.8,0.0,,B,Tool touch-off
L0000055,EMP0001,J26-00014,20,WC002,103 HAAS VF4,2026-01-01T06:36:33+00:00,2026-01-01T07:12:30+00:00,0.37,0.0,0.11,,C,Run production
L0000056,EMP0012,J26-00014,30,WC-INSP,,2026-01-01T08:31:03.536092+00:00,2026-01-01T10:32:20.693502+00:00,1.91,0.0,1.77,,A,Final inspect
L0000057,EMP0010,J26-00015,10,WC-PREP,,2026-01-01T02:50:17.455906+00:00,2026-01-01T03:48:36.706965+00:00,1.89,0.16,2.16,MATERIAL,A,
L0000058,EMP0002,J26-00015,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T06:12:03+00:00,2026-01-01T07:03:03+00:00,0.85,0.85,0.0,,B,Setup & fixture
L0000059,EMP0009,J26-00015,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T07:03:03+00:00,2026-01-01T08:29:27+00:00,1.71,0.0,1.18,,A,In-process check
L0000060,EMP0005,J26-00015,30,WC-INSP,,2026-01-01T14:14:27.715512+00:00,2026-01-01T14:59:08.863410+00:00,0.8,0.0,1.1,INSPECT,B,Final inspect
L0000061,EMP0010,J26-00016,10,WC-PREP,,2026-01-01T04:01:21.105442+00:00,2026-01-01T05:49:51.082690+00:00,1.69,0.22,0.97,,A,Cut stock
L0000062,EMP0013,J26-00016,20,WC001,102 HAAS VF4,2026-01-01T06:40:31+00:00,2026-01-01T07:37:31+00:00,0.95,0.95,0.0,,A,Setup & fixture
L0000063,EMP0007,J26-00016,20,WC001,102 HAAS VF4,2026-01-01T07:37:31+00:00,2026-01-01T14:44:05+00:00,6.61,0.0,6.02,,A,Run production
L0000064,EMP0006,J26-00016,30,WC-INSP,,2026-01-01T22:13:15.722826+00:00,2026-01-01T23:41:09.541028+00:00,2.18,0.0,1.39,,A,Pack & label
L0000065,EMP0008,J26-00017,10,WC-PREP,,2026-01-01T02:58:09.670611+00:00,2026-01-01T03:40:42.760159+00:00,1.56,0.04,1.32,,A,
L0000066,EMP0005,J26-00017,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T08:21:53+00:00,2026-01-01T08:41:41+00:00,0.33,0.33,0.0,,B,Tool touch-off
L0000067,EMP0002,J26-00017,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T08:41:41+00:00,2026-01-01T10:02:12+00:00,1.67,0.0,1.18,,B,Adjust offsets
L0000068,EMP0012,J26-00017,30,WC-INSP,,2026-01-01T17:58:43.453001+00:00,2026-01-01T19:44:25.909848+00:00,0.93,0.0,1.38,,A,Create CoC
L0000069,EMP0004,J26-00018,10,WC-PREP,,2026-01-01T05:52:54.387514+00:00,2026-01-01T06:26:38.351936+00:00,1.9,0.06,0.94,MATERIAL,B,
L0000070,EMP0011,J26-00018,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T10:35:59+00:00,2026-01-01T10:54:35+00:00,0.31,0.31,0.0,,B,Setup & fixture
L0000071,EMP0006,J26-00018,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T10:54:35+00:00,2026-01-01T12:13:31+00:00,1.32,0.0,1.18,,A,Run production
L0000072,EMP0009,J26-00018,30,WC-INSP,,2026-01-01T21:39:38.121332+00:00,2026-01-01T23:28:09.962146+00:00,2.88,0.0,1.85,INSPECT,A,Pack & label
L0000073,EMP0014,J26-00019,10,WC-PREP,,2026-01-01T05:37:02.429057+00:00,2026-01-01T05:38:55.562144+00:00,0.86,0.05,1.09,,A,Cut stock
L0000074,EMP0002,J26-00019,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T12:05:36+00:00,2026-01-01T12:24:48+00:00,0.32,0.32,0.0,,B,Setup & fixture
L0000075,EMP0015,J26-00019,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T12:24:48+00:00,2026-01-01T13:42:30+00:00,1.51,0.0,1.18,,C,Adjust offsets
L0000076,EMP0015,J26-00019,30,WC-INSP,,2026-01-01T15:31:57.473655+00:00,2026-01-01T15:54:15.877896+00:00,2.5,0.0,1.96,,C,Pack & label
L0000077,EMP0011,J26-00020,10,WC-PREP,,2026-01-01T10:22:23.514446+00:00,2026-01-01T11:32:56.914322+00:00,1.93,0.19,1.2,,B,
L0000078,EMP0012,J26-00020,20,WC004,21 DOOSAN PUMA700,2026-01-01T13:24:24+00:00,2026-01-01T14:26:48+00:00,1.04,1.04,0.0,,A,Tool touch-off
L0000079,EMP0007,J26-00020,20,WC004,21 DOOSAN PUMA700,2026-01-01T14:26:48+00:00,2026-01-01T14:45:45+00:00,0.83,0.0,0.29,,A,Adjust offsets
L0000080,EMP0003,J26-00020,30,WC-INSP,,2026-01-02T02:16:38.711035+00:00,2026-01-02T03:50:36.279798+00:00,2.42,0.0,1.15,,B,Final inspect
L0000081,EMP0006,J26-00021,10,WC-PREP,,2026-01-01T10:26:28.450990+00:00,2026-01-01T12:31:31.021259+00:00,0.75,0.21,2.04,,A,
L0000082,EMP0013,J26-00021,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T13:50:14+00:00,2026-01-01T14:38:14+00:00,0.8,0.8,0.0,,A,Program load
L0000083,EMP0007,J26-00021,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T14:38:14+00:00,2026-01-01T15:52:02+00:00,1.6,0.0,1.18,,A,Run production
L0000084,EMP0001,J26-00021,30,WC-INSP,,2026-01-02T03:45:58.619263+00:00,2026-01-02T06:41:03.778836+00:00,0.99,0.0,1.0,,C,Create CoC
L0000085,EMP0006,J26-00022,10,WC-PREP,,2026-01-01T10:37:56.701125+00:00,2026-01-01T11:54:31.323260+00:00,1.91,0.31,1.65,,A,
L0000086,EMP0003,J26-00022,20,WC006,23 DOOSAN PUMA 700,2026-01-01T14:08:33+00:00,2026-01-01T14:43:21+00:00,0.58,0.58,0.0,,B,Program load
L0000087,EMP0009,J26-00022,20,WC006,23 DOOSAN PUMA 700,2026-01-01T14:43:21+00:00,2026-01-01T15:11:35+00:00,0.77,0.0,0.21,,A,Run production
L0000088,EMP0003,J26-00022,30,WC-INSP,,2026-01-01T22:56:34.027107+00:00,2026-01-01T23:56:35.967543+00:00,0.75,0.0,0.66,INSPECT,B,Pack & label
L0000089,EMP0007,J26-00023,10,WC-PREP,,2026-01-01T10:25:19.479328+00:00,2026-01-01T12:46:11.482492+00:00,1.97,0.27,1.81,MATERIAL,A,
L0000090,EMP0009,J26-00023,20,WC004,21 DOOSAN PUMA700,2026-01-01T14:55:56+00:00,2026-01-01T15:12:44+00:00,0.28,0.28,0.0,,A,Tool touch-off
L0000091,EMP0014,J26-00023,20,WC004,21 DOOSAN PUMA700,2026-01-01T15:12:44+00:00,2026-01-01T15:40:51+00:00,0.56,0.0,0.44,,A,Run production
L0000092,EMP0009,J26-00023,30,WC-INSP,,2026-01-01T23:03:38.059983+00:00,2026-01-02T01:11:11.931811+00:00,2.04,0.0,2.41,,A,Final inspect
L0000093,EMP0004,J26-00024,10,WC-PREP,,2026-01-01T13:17:00.054633+00:00,2026-01-01T13:49:40.044226+00:00,2.04,0.31,1.77,,B,
L0000094,EMP0011,J26-00024,20,WC005,22 DMU NLX 2500 old,2026-01-01T14:02:09+00:00,2026-01-01T15:15:57+00:00,1.23,1.23,0.0,,B,Tool touch-off
L0000095,EMP0005,J26-00024,20,WC005,22 DMU NLX 2500 old,2026-01-01T15:15:57+00:00,2026-01-01T17:35:38+00:00,2.02,0.0,1.7,,B,Run production
L0000096,EMP0012,J26-00024,30,WC-INSP,,2026-01-02T05:22:39.069027+00:00,2026-01-02T06:09:54.276335+00:00,2.15,0.0,2.98,INSPECT,A,Pack & label
L0000097,EMP0003,J26-00025,10,WC-PREP,,2026-01-01T13:08:58.286902+00:00,2026-01-01T14:04:24.389670+00:00,1.07,0.1,2.05,,B,
L0000098,EMP0003,J26-00025,20,WC010,66 DMU NLX 2500,2026-01-01T14:29:17+00:00,2026-01-01T15:16:41+00:00,0.79,0.79,0.0,,B,Tool touch-off
L0000099,EMP0001,J26-00025,20,WC010,66 DMU NLX 2500,2026-01-01T15:16:41+00:00,2026-01-01T17:36:12+00:00,1.98,0.0,1.68,,C,In-process check
L0000100,EMP0008,J26-00025,30,WC-INSP,,2026-01-02T02:47:22.157236+00:00,2026-01-02T03:26:03.951566+00:00,0.48,0.0,1.62,,A,Final inspect
L0000101,EMP0006,J26-00026,10,WC-PREP,,2026-01-01T12:08:37.285271+00:00,2026-01-01T14:02:25.242901+00:00,1.58,0.32,1.48,,A,
L0000102,EMP0005,J26-00026,20,WC006,23 DOOSAN PUMA 700,2026-01-01T13:57:05+00:00,2026-01-01T15:27:41+00:00,1.51,1.51,0.0,,B,Program load
L0000103,EMP0009,J26-00026,20,WC006,23 DOOSAN PUMA 700,2026-01-01T15:27:41+00:00,2026-01-01T15:43:24+00:00,0.46,0.0,0.18,,A,Run production
L0000104,EMP0001,J26-00026,30,WC-INSP,,2026-01-01T17:55:10.267191+00:00,2026-01-01T18:10:52.381607+00:00,2.09,0.0,0.88,,C,Pack & label
L0000105,EMP0002,J26-00027,10,WC-PREP,,2026-01-01T14:16:23.207975+00:00,2026-01-01T15:05:17.403323+00:00,2.03,0.23,1.62,,B,
L0000106,EMP0007,J26-00027,20,WC008,41 DMU NLX2500,2026-01-01T15:00:54+00:00,2026-01-01T15:47:42+00:00,0.78,0.78,0.0,,A,Program load
L0000107,EMP0002,J26-00027,20,WC008,41 DMU NLX2500,2026-01-01T15:47:42+00:00,2026-01-01T16:47:34+00:00,0.98,0.0,0.63,,B,Run production
L0000108,EMP0003,J26-00027,30,WC-INSP,,2026-01-01T22:45:59.500347+00:00,2026-01-01T23:15:42.675243+00:00,2.18,0.0,2.44,,B,Pack & label
L0000109,EMP0007,J26-00028,10,WC-PREP,,2026-01-01T13:40:31.518059+00:00,2026-01-01T15:29:09.796054+00:00,2.25,0.04,1.82,MOVE,A,Prep lot
L0000110,EMP0011,J26-00028,20,WC006,23 DOOSAN PUMA 700,2026-01-01T15:24:40+00:00,2026-01-01T15:55:16+00:00,0.51,0.51,0.0,,B,Tool touch-off
L0000111,EMP0002,J26-00028,20,WC006,23 DOOSAN PUMA 700,2026-01-01T15:55:16+00:00,2026-01-01T16:03:44+00:00,0.33,0.0,0.11,,B,Run production
L0000112,EMP0007,J26-00028,30,WC-INSP,,2026-01-01T17:37:12.502595+00:00,2026-01-01T19:44:36.061452+00:00,2.51,0.0,2.68,,A,Final inspect
L0000113,EMP0007,J26-00029,10,WC-PREP,,2026-01-01T09:04:12.099236+00:00,2026-01-01T10:18:36.583529+00:00,2.02,0.27,1.02,MOVE,A,Cut stock
L0000114,EMP0015,J26-00029,20,WC004,21 DOOSAN PUMA700,2026-01-01T14:56:31+00:00,2026-01-01T15:58:19+00:00,1.03,1.03,0.0,,C,Tool touch-off
L0000115,EMP0005,J26-00029,20,WC004,21 DOOSAN PUMA700,2026-01-01T15:58:19+00:00,2026-01-01T16:16:33+00:00,0.3,0.0,0.18,,B,Run production
L0000116,EMP0003,J26-00029,30,WC-INSP,,2026-01-02T00:36:20.304776+00:00,2026-01-02T02:14:27.864688+00:00,1.54,0.0,2.63,,B,Final inspect
L0000117,EMP0009,J26-00030,10,WC-PREP,,2026-01-01T09:54:17.500445+00:00,2026-01-01T12:15:27.463457+00:00,2.18,0.13,1.14,MOVE,A,Cut stock
L0000118,EMP0005,J26-00030,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T15:26:31+00:00,2026-01-01T16:03:07+00:00,0.61,0.61,0.0,,B,Tool touch-off
L0000119,EMP0014,J26-00030,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T16:03:07+00:00,2026-01-01T17:26:32+00:00,1.7,0.0,1.18,,A,Run production
L0000120,EMP0015,J26-00030,30,WC-INSP,,2026-01-01T17:59:44.537979+00:00,2026-01-01T19:47:01.619441+00:00,1.46,0.0,1.02,INSPECT,C,Pack & label
L0000121,EMP0002,J26-00031,10,WC-PREP,,2026-01-01T10:08:42.021112+00:00,2026-01-01T11:19:55.416142+00:00,1.25,0.19,0.67,,B,
L0000122,EMP0004,J26-00031,20,WC006,23 DOOSAN PUMA 700,2026-01-01T15:52:57+00:00,2026-01-01T16:16:21+00:00,0.39,0.39,0.0,,B,Program load
L0000123,EMP0009,J26-00031,20,WC006,23 DOOSAN PUMA 700,2026-01-01T16:16:21+00:00,2026-01-01T17:05:27+00:00,0.54,0.0,0.31,,A,Run production
L0000124,EMP0002,J26-00031,30,WC-INSP,,2026-01-01T21:42:17.889354+00:00,2026-01-01T23:16:13.573406+00:00,0.83,0.0,1.95,,B,Final inspect
L0000125,EMP0014,J26-00032,10,WC-PREP,,2026-01-01T15:42:43.730586+00:00,2026-01-01T16:49:31.589080+00:00,0.6,0.25,0.68,,A,
L0000126,EMP0014,J26-00032,20,WC004,21 DOOSAN PUMA700,2026-01-01T15:22:54+00:00,2026-01-01T16:29:30+00:00,1.11,1.11,0.0,,A,Tool touch-off
L0000127,EMP0014,J26-00032,20,WC004,21 DOOSAN PUMA700,2026-01-01T16:29:30+00:00,2026-01-01T17:09:48+00:00,1.02,0.0,0.59,,A,Run production
L0000128,EMP0005,J26-00032,30,WC-INSP,,2026-01-01T21:53:53.686466+00:00,2026-01-01T23:16:45.714506+00:00,1.34,0.0,1.53,,B,Final inspect
L0000129,EMP0001,J26-00033,10,WC-PREP,,2026-01-01T13:57:10.077672+00:00,2026-01-01T14:21:57.180197+00:00,0.74,0.22,1.98,,C,
L0000130,EMP0007,J26-00033,20,WC008,41 DMU NLX2500,2026-01-01T16:04:49+00:00,2026-01-01T17:00:37+00:00,0.93,0.93,0.0,,A,Setup & fixture
L0000131,EMP0002,J26-00033,20,WC008,41 DMU NLX2500,2026-01-01T17:00:37+00:00,2026-01-01T19:25:05+00:00,1.97,0.0,1.67,,B,Run production
L0000132,EMP0001,J26-00033,30,WC-INSP,,2026-01-02T00:12:37.729931+00:00,2026-01-02T02:57:31.887070+00:00,2.35,0.0,0.57,INSPECT,C,Final inspect
L0000133,EMP0001,J26-00034,10,WC-PREP,,2026-01-01T12:57:01.005226+00:00,2026-01-01T14:15:32.538569+00:00,0.64,0.3,1.33,,C,Prep lot
L0000134,EMP0009,J26-00034,20,WC006,23 DOOSAN PUMA 700,2026-01-01T15:46:41+00:00,2026-01-01T17:20:17+00:00,1.56,1.56,0.0,,A,Setup & fixture
L0000135,EMP0006,J26-00034,20,WC006,23 DOOSAN PUMA 700,2026-01-01T17:20:17+00:00,2026-01-01T17:26:50+00:00,0.67,0.0,0.09,,A,Run production
L0000136,EMP0012,J26-00034,30,WC-INSP,,2026-01-01T19:08:01.888199+00:00,2026-01-01T20:41:36.632372+00:00,2.7,0.0,1.93,INSPECT,A,Create CoC
L0000137,EMP0008,J26-00035,10,WC-PREP,,2026-01-01T14:35:02.837463+00:00,2026-01-01T15:48:51.846717+00:00,0.84,0.24,1.56,,A,
L0000138,EMP0002,J26-00035,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T16:40:53+00:00,2026-01-01T17:36:41+00:00,0.93,0.93,0.0,,B,Setup & fixture
L0000139,EMP0005,J26-00035,20,WC007,24 DOOSAN PUMA 3100L,2026-01-01T17:36:41+00:00,2026-01-01T18:49:12+00:00,1.64,0.0,1.18,,B,Run production
L0000140,EMP0014,J26-00035,30,WC-INSP,,2026-01-02T03:38:05.766279+00:00,2026-01-02T04:40:34.699286+00:00,0.46,0.0,2.14,,A,Final inspect
L0000141,EMP0013,J26-00036,10,WC-PREP,,2026-01-01T11:40:14.411736+00:00,2026-01-01T13:13:16.784083+00:00,0.63,0.19,1.7,,A,Cut stock
L0000142,EMP0003,J26-00036,20,WC004,21 DOOSAN PUMA700,2026-01-01T16:58:47+00:00,2026-01-01T17:38:23+00:00,0.66,0.66,0.0,,B,Setup & fixture
L0000143,EMP0002,J26-00036,20,WC004,21 DOOSAN PUMA700,2026-01-01T17:38:23+00:00,2026-01-01T19:15:38+00:00,1.42,0.0,1.21,,B,Run production
L0000144,EMP0006,J26-00036,30,WC-INSP,,2026-01-02T05:30:29.156972+00:00,2026-01-02T06:56:15.787124+00:00,2.47,0.0,1.05,,A,Create CoC
L0000145,EMP0014,J26-00037,10,WC-PREP,,2026-01-01T14:41:12.814516+00:00,2026-01-01T16:33:17.978584+00:00,1.13,0.09,1.05,MATERIAL,A,Prep lot
L0000146,EMP0001,J26-00037,20,WC006,23 DOOSAN PUMA 700,2026-01-01T16:52:22+00:00,2026-01-01T17:42:46+00:00,0.84,0.84,0.0,,C,Setup & fixture
L0000147,EMP0003,J26-00037,20,WC006,23 DOOSAN PUMA 700,2026-01-01T17:42:46+00:00,2026-01-01T19:42:43+00:00,1.54,0.0,0.99,,B,Run production
L0000148,EMP0008,J26-00037,30,WC-INSP,,2026-01-02T07:10:23.976955+00:00,2026-01-02T08:50:11.549076+00:00,1.59,0.0,0.91,,A,Create CoC
L0000149,EMP0012,J26-00038,10,WC-PREP,,2026-01-01T10:37:34.632496+00:00,2026-01-01T12:44:17.395217+00:00,0.61,0.1,1.79,,A,
L0000150,EMP0005,J26-00038,20,WC010,66 DMU NLX 2500,2026-01-01T17:03:56+00:00,2026-01-01T17:48:56+00:00,0.75,0.75,0.0,,B,Setup & fixture
L0000151,EMP0012,J26-00038,20,WC010,66 DMU NLX 2500,2026-01-01T17:48:56+00:00,2026-01-01T19:12:15+00:00,1.26,0.0,1.06,,A,In-process check
L0000152,EMP0012,J26-00038,30,WC-INSP,,2026-01-01T19:51:22.143904+00:00,2026-01-01T22:09:08.487864+00:00,1.15,0.0,2.43,INSPECT,A,Final inspect
L0000153,EMP0002,J26-00039,10,WC-PREP,,2026-01-01T12:26:49.740886+00:00,2026-01-01T13:36:49.777163+00:00,1.78,0.19,2.01,,B,Cut stock
L0000154,EMP0011,J26-00039,20,WC005,22 DMU NLX 2500 old,2026-01-01T16:52:16+00:00,2026-01-01T17:49:52+00:00,0.96,0.96,0.0,,B,Tool touch-off
