JobNum,OperSeq,WorkCenterID,OperationDesc,StdSetupHrs,StdRunHrsPerUnit,PlannedStart,PlannedEnd,ActualStart,ActualEnd,Machine,QtyComplete,QtyScrap,SetupHrs,RunHrs,MoveHrs,QueueHrs,Status,SMKO_ClusterID
J26-00004,20,WC008,CNC Machining,1.55,0.0378,2025-12-31T16:04:30.522197+00:00,2025-12-31T17:55:25.717705+00:00,2025-12-31T22:00:00+00:00,2025-12-31T22:36:13+00:00,41 DMU NLX2500,13,0,0.43,0.55,0.32,5.77,Complete,807
J26-00004,30,WC-INSP,Inspection & Pack,0.0,0.0046,2025-12-31T17:55:25.717705+00:00,2025-12-31T18:48:50.342137+00:00,2026-01-01T08:05:01.585740+00:00,2026-01-01T10:13:02.432883+00:00,,13,1,0.0,2.48,0.13,2.28,Complete,
J26-00005,10,WC-PREP,Material Prep / Cut,0.14,0.0026,2025-12-31T18:46:54.580975+00:00,2025-12-31T19:28:22.235059+00:00,2025-12-31T19:18:14.560670+00:00,2025-12-31T19:48:45.784929+00:00,,43,0,0.03,0.9,0.16,1.19,Complete,
J26-00005,20,WC005,CNC Machining,0.38,0.0269,2025-12-31T19:46:54.580975+00:00,2025-12-31T21:01:42.842407+00:00,2025-12-31T22:44:03+00:00,2026-01-01T00:25:02+00:00,22 DMU NLX 2500 old,43,1,1.21,1.33,0.35,3.7,Complete,381
J26-00005,30,WC-INSP,Inspection & Pack,0.0,0.0071,2025-12-31T21:01:42.842407+00:00,2025-12-31T21:37:27.406863+00:00,2026-01-01T03:12:45.849309+00:00,2026-01-01T03:28:51.809187+00:00,,43,0,0.0,1.79,0.19,2.4,Complete,
J26-00006,10,WC-PREP,Material Prep / Cut,0.18,0.0067,2025-12-31T21:30:50.251621+00:00,2025-12-31T23:10:13.946273+00:00,2025-12-31T22:15:02.544012+00:00,2026-01-01T00:03:17.062594+00:00,,31,0,0.36,2.18,0.22,0.1,Complete,
J26-00006,20,WC010,CNC Machining,0.57,0.0297,2025-12-31T22:30:50.251621+00:00,2025-12-31T23:10:35.293937+00:00,2025-12-31T22:48:31+00:00,2026-01-01T00:07:56+00:00,66 DMU NLX 2500,31,0,0.21,1.02,0.16,5.03,Complete,1107
J26-00006,30,WC-INSP,Inspection & Pack,0.0,0.0018,2025-12-31T23:10:35.293937+00:00,2025-12-31T23:53:15.808723+00:00,2026-01-01T02:53:56.589259+00:00,2026-01-01T05:25:29.465838+00:00,,31,0,0.0,0.31,0.19,2.48,Complete,
J26-00007,10,WC-PREP,Material Prep / Cut,0.18,0.002,2025-12-31T19:24:56.521895+00:00,2025-12-31T20:11:38.634574+00:00,2025-12-31T19:56:14.950486+00:00,2025-12-31T20:14:34.255468+00:00,,12,0,0.38,0.51,0.27,1.49,Complete,
J26-00007,20,WC008,CNC Machining,0.93,0.0131,2025-12-31T20:24:56.521895+00:00,2025-12-31T20:50:12.379520+00:00,2025-12-31T23:09:14+00:00,2025-12-31T23:20:23+00:00,41 DMU NLX2500,12,0,1.16,0.19,0.23,3.97,Complete,809
J26-00007,30,WC-INSP,Inspection & Pack,0.0,0.0061,2025-12-31T20:50:12.379520+00:00,2025-12-31T23:40:56.796577+00:00,2026-01-01T05:51:54.248825+00:00,2026-01-01T08:29:08.337058+00:00,,12,0,0.0,0.94,0.03,0.48,Complete,
J26-00008,10,WC-PREP,Material Prep / Cut,0.19,0.0021,2025-12-31T21:13:32.051812+00:00,2025-12-31T21:44:38.157967+00:00,2025-12-31T21:32:59.101929+00:00,2025-12-31T22:35:02.595377+00:00,,6,0,0.07,1.73,0.24,0.26,Complete,
J26-00008,20,WC008,CNC Machining,0.61,0.0378,2025-12-31T22:13:32.051812+00:00,2025-12-31T22:15:15.979338+00:00,2025-12-31T23:34:39+00:00,2025-12-31T23:52:48+00:00,41 DMU NLX2500,6,0,0.81,0.3,0.31,5.68,Complete,810
J26-00008,30,WC-INSP,Inspection & Pack,0.0,0.006,2025-12-31T22:15:15.979338+00:00,2026-01-01T00:53:07.876331+00:00,2026-01-01T01:52:35.511755+00:00,2026-01-01T04:14:07.033424+00:00,,6,0,0.0,0.42,0.17,2.97,Complete,
J26-00009,10,WC-PREP,Material Prep / Cut,0.38,0.0054,2025-12-31T21:30:29.964339+00:00,2025-12-31T22:32:35.853321+00:00,2025-12-31T21:59:13.984398+00:00,2025-12-31T22:56:27.193154+00:00,,7,0,0.39,1.08,0.27,0.34,Complete,
J26-00009,20,WC008,CNC Machining,1.52,0.0653,2025-12-31T22:30:29.964339+00:00,2026-01-01T00:14:10.631194+00:00,2026-01-01T00:35:49+00:00,2026-01-01T01:12:12+00:00,41 DMU NLX2500,7,0,0.3,0.56,0.35,2.84,Complete,811
J26-00009,30,WC-INSP,Inspection & Pack,0.0,0.0071,2026-01-01T00:14:10.631194+00:00,2026-01-01T04:13:51.500209+00:00,2026-01-01T12:49:17.956086+00:00,2026-01-01T13:32:28.053284+00:00,,7,0,0.0,2.73,0.15,1.88,Complete,
J26-00010,10,WC-PREP,Material Prep / Cut,0.37,0.0078,2026-01-01T00:28:14.162394+00:00,2026-01-01T02:23:24.372059+00:00,2026-01-01T01:01:56.898820+00:00,2026-01-01T02:32:09.691526+00:00,,12,0,0.23,0.33,0.14,0.32,Complete,
J26-00010,20,WC008,CNC Machining,0.93,0.0572,2026-01-01T01:28:14.162394+00:00,2026-01-01T02:17:28.728551+00:00,2026-01-01T01:33:07+00:00,2026-01-01T02:37:13+00:00,41 DMU NLX2500,12,0,1.38,0.81,0.14,4.65,Complete,812
J26-00010,30,WC-INSP,Inspection & Pack,0.0,0.0047,2026-01-01T02:17:28.728551+00:00,2026-01-01T06:45:45.771021+00:00,2026-01-01T13:54:54.460183+00:00,2026-01-01T14:19:04.416206+00:00,,12,0,0.0,2.67,0.07,0.97,Complete,
J26-00011,10,WC-PREP,Material Prep / Cut,0.12,0.0025,2025-12-31T22:41:30.159121+00:00,2026-01-01T00:14:07.486994+00:00,2025-12-31T22:52:37.337853+00:00,2026-01-01T00:23:41.847842+00:00,,5,1,0.09,2.15,0.1,0.27,Complete,
J26-00011,20,WC008,CNC Machining,1.18,0.0625,2025-12-31T23:41:30.159121+00:00,2026-01-01T00:48:51.425819+00:00,2026-01-01T03:04:57+00:00,2026-01-01T03:23:06+00:00,41 DMU NLX2500,5,0,1.05,0.3,0.2,3.33,Complete,813
J26-00011,30,WC-INSP,Inspection & Pack,0.0,0.008,2026-01-01T00:48:51.425819+00:00,2026-01-01T05:42:03.075046+00:00,2026-01-01T12:00:55.516821+00:00,2026-01-01T12:51:18.340614+00:00,,5,0,0.0,0.8,0.14,0.22,Complete,
J26-00012,10,WC-PREP,Material Prep / Cut,0.22,0.0068,2026-01-01T01:18:10.632643+00:00,2026-01-01T02:55:19.753910+00:00,2026-01-01T01:46:38.492083+00:00,2026-01-01T03:17:42.009004+00:00,,51,0,0.17,0.43,0.13,0.15,Complete,
J26-00012,20,WC007,CNC Machining,1.64,0.0231,2026-01-01T02:18:10.632643+00:00,2026-01-01T04:40:00.238692+00:00,2026-01-01T05:15:18+00:00,2026-01-01T06:37:55+00:00,24 DOOSAN PUMA 3100L,51,1,1.25,1.18,0.16,3.56,Complete,703
J26-00012,30,WC-INSP,Inspection & Pack,0.0,0.0017,2026-01-01T04:40:00.238692+00:00,2026-01-01T08:06:04.635270+00:00,2026-01-01T13:35:05.723652+00:00,2026-01-01T15:38:24.946144+00:00,,51,0,0.0,1.4,0.17,0.03,Complete,
J26-00013,10,WC-PREP,Material Prep / Cut,0.18,0.0025,2026-01-01T02:10:53.352263+00:00,2026-01-01T02:40:18.300334+00:00,2026-01-01T02:34:47.509989+00:00,2026-01-01T03:36:30.080826+00:00,,46,0,0.05,1.16,0.28,0.47,Complete,
J26-00013,20,WC001,CNC Machining,1.17,0.0219,2026-01-01T03:10:53.352263+00:00,2026-01-01T04:55:29.802315+00:00,2026-01-01T05:40:43+00:00,2026-01-01T07:20:17+00:00,102 HAAS VF4,46,1,0.56,1.14,0.06,5.92,Complete,1
J26-00013,30,WC-INSP,Inspection & Pack,0.0,0.0077,2026-01-01T04:55:29.802315+00:00,2026-01-01T08:18:03.545308+00:00,2026-01-01T18:55:10.127686+00:00,2026-01-01T19:07:59.922694+00:00,,46,0,0.0,1.56,0.1,1.47,Complete,
J26-00014,10,WC-PREP,Material Prep / Cut,0.3,0.0066,2026-01-01T01:17:03.249547+00:00,2026-01-01T02:59:23.503515+00:00,2026-01-01T01:32:44.398449+00:00,2026-01-01T03:08:56.938318+00:00,,2,0,0.13,1.95,0.3,1.13,Complete,
J26-00014,20,WC002,CNC Machining,1.0,0.045,2026-01-01T02:17:03.249547+00:00,2026-01-01T03:04:56.890108+00:00,2026-01-01T06:36:33+00:00,2026-01-01T07:12:30+00:00,103 HAAS VF4,2,0,0.8,0.11,0.04,1.73,Complete,135
J26-00014,30,WC-INSP,Inspection & Pack,0.0,0.0064,2026-01-01T03:04:56.890108+00:00,2026-01-01T07:44:52.822368+00:00,2026-01-01T08:31:03.536092+00:00,2026-01-01T10:32:20.693502+00:00,,2,0,0.0,2.9,0.18,0.95,Complete,
J26-00015,10,WC-PREP,Material Prep / Cut,0.17,0.0058,2026-01-01T02:32:51.778210+00:00,2026-01-01T03:44:34.715849+00:00,2026-01-01T02:50:36.564584+00:00,2026-01-01T04:17:32.607107+00:00,,61,0,0.29,1.29,0.25,0.65,Complete,
J26-00015,20,WC007,CNC Machining,1.41,0.0186,2026-01-01T03:32:51.778210+00:00,2026-01-01T05:45:26.534646+00:00,2026-01-01T07:03:03+00:00,2026-01-01T08:29:27+00:00,24 DOOSAN PUMA 3100L,61,0,0.85,1.18,0.15,1.18,Complete,704
J26-00015,30,WC-INSP,Inspection & Pack,0.0,0.0022,2026-01-01T05:45:26.534646+00:00,2026-01-01T09:02:07.633116+00:00,2026-01-01T14:14:27.715512+00:00,2026-01-01T14:59:08.863410+00:00,,61,0,0.0,2.21,0.19,1.6,Complete,
J26-00016,10,WC-PREP,Material Prep / Cut,0.22,0.0087,2026-01-01T04:00:38.555987+00:00,2026-01-01T05:20:57.759639+00:00,2026-01-01T04:41:08.618420+00:00,2026-01-01T05:42:10.076604+00:00,,121,0,0.31,0.82,0.25,0.64,Complete,
J26-00016,20,WC001,CNC Machining,1.51,0.0514,2026-01-01T05:00:38.555987+00:00,2026-01-01T12:21:33.333956+00:00,2026-01-01T07:37:31+00:00,2026-01-01T14:44:05+00:00,102 HAAS VF4,121,2,0.95,6.02,0.27,0.57,Complete,2
J26-00016,30,WC-INSP,Inspection & Pack,0.0,0.0051,2026-01-01T12:21:33.333956+00:00,2026-01-01T13:36:55.164121+00:00,2026-01-01T22:13:15.722826+00:00,2026-01-01T23:41:09.541028+00:00,,121,0,0.0,2.79,0.04,0.29,Complete,
J26-00017,10,WC-PREP,Material Prep / Cut,0.12,0.0062,2026-01-01T02:37:27.661808+00:00,2026-01-01T03:31:40.239200+00:00,2026-01-01T02:40:30.215730+00:00,2026-01-01T04:19:41.522628+00:00,,20,0,0.22,1.97,0.2,0.8,Complete,
J26-00017,20,WC007,CNC Machining,0.37,0.0578,2026-01-01T03:37:27.661808+00:00,2026-01-01T04:42:33.196839+00:00,2026-01-01T08:41:41+00:00,2026-01-01T10:02:12+00:00,24 DOOSAN PUMA 3100L,20,1,0.33,1.18,0.27,5.96,Complete,705
J26-00017,30,WC-INSP,Inspection & Pack,0.0,0.0061,2026-01-01T04:42:33.196839+00:00,2026-01-01T07:18:09.527758+00:00,2026-01-01T17:58:43.453001+00:00,2026-01-01T19:44:25.909848+00:00,,20,0,0.0,1.89,0.19,0.53,Complete,
J26-00018,10,WC-PREP,Material Prep / Cut,0.17,0.0047,2026-01-01T05:32:40.640662+00:00,2026-01-01T06:02:40.652716+00:00,2026-01-01T05:49:49.096381+00:00,2026-01-01T06:23:27.411083+00:00,,22,0,0.2,1.87,0.08,1.41,Complete,
J26-00018,20,WC007,CNC Machining,1.03,0.0547,2026-01-01T06:32:40.640662+00:00,2026-01-01T08:13:01.234231+00:00,2026-01-01T10:54:35+00:00,2026-01-01T12:13:31+00:00,24 DOOSAN PUMA 3100L,22,0,0.31,1.18,0.35,0.97,Complete,706
J26-00018,30,WC-INSP,Inspection & Pack,0.0,0.005,2026-01-01T08:13:01.234231+00:00,2026-01-01T10:28:36.126993+00:00,2026-01-01T21:39:38.121332+00:00,2026-01-01T23:28:09.962146+00:00,,22,0,0.0,1.39,0.11,1.88,Complete,
J26-00019,10,WC-PREP,Material Prep / Cut,0.14,0.0097,2026-01-01T05:07:31.806992+00:00,2026-01-01T05:28:09.775863+00:00,2026-01-01T05:32:15.536739+00:00,2026-01-01T06:26:06.735643+00:00,,17,0,0.12,1.26,0.13,0.16,Complete,
J26-00019,20,WC007,CNC Machining,0.42,0.065,2026-01-01T06:07:31.806992+00:00,2026-01-01T07:31:33.724653+00:00,2026-01-01T12:24:48+00:00,2026-01-01T13:42:30+00:00,24 DOOSAN PUMA 3100L,17,0,0.32,1.18,0.25,3.9,Complete,707
J26-00019,30,WC-INSP,Inspection & Pack,0.0,0.0065,2026-01-01T07:31:33.724653+00:00,2026-01-01T10:05:42.491518+00:00,2026-01-01T15:31:57.473655+00:00,2026-01-01T15:54:15.877896+00:00,,17,0,0.0,3.18,0.01,2.09,Complete,
J26-00020,10,WC-PREP,Material Prep / Cut,0.24,0.0022,2026-01-01T10:17:53.426850+00:00,2026-01-01T11:18:20.289319+00:00,2026-01-01T10:29:34.922514+00:00,2026-01-01T12:03:57.332682+00:00,,4,0,0.21,0.71,0.0,0.36,Complete,
J26-00020,20,WC004,CNC Machining,1.62,0.0569,2026-01-01T11:17:53.426850+00:00,2026-01-01T12:23:03.875580+00:00,2026-01-01T14:26:48+00:00,2026-01-01T14:45:45+00:00,21 DOOSAN PUMA700,4,0,1.04,0.29,0.39,4.81,Complete,275
J26-00020,30,WC-INSP,Inspection & Pack,0.0,0.0018,2026-01-01T12:23:03.875580+00:00,2026-01-01T15:21:00.819301+00:00,2026-01-02T02:16:38.711035+00:00,2026-01-02T03:50:36.279798+00:00,,4,0,0.0,2.73,0.02,1.46,Complete,
J26-00021,10,WC-PREP,Material Prep / Cut,0.13,0.0099,2026-01-01T10:24:24.767891+00:00,2026-01-01T12:12:25.419667+00:00,2026-01-01T10:44:21.605227+00:00,2026-01-01T12:15:17.610620+00:00,,85,0,0.3,1.55,0.24,0.16,Complete,
J26-00021,20,WC007,CNC Machining,1.64,0.0125,2026-01-01T11:24:24.767891+00:00,2026-01-01T13:40:22.515613+00:00,2026-01-01T14:38:14+00:00,2026-01-01T15:52:02+00:00,24 DOOSAN PUMA 3100L,85,3,0.8,1.18,0.16,2.77,Complete,708
J26-00021,30,WC-INSP,Inspection & Pack,0.0,0.0076,2026-01-01T13:40:22.515613+00:00,2026-01-01T17:42:00.766977+00:00,2026-01-02T03:45:58.619263+00:00,2026-01-02T06:41:03.778836+00:00,,85,0,0.0,1.44,0.11,2.49,Complete,
J26-00022,10,WC-PREP,Material Prep / Cut,0.38,0.0038,2026-01-01T10:24:07.730030+00:00,2026-01-01T11:16:37.927167+00:00,2026-01-01T10:40:52.580994+00:00,2026-01-01T11:42:33.403946+00:00,,9,0,0.25,2.09,0.07,0.18,Complete,
J26-00022,20,WC006,CNC Machining,0.4,0.0214,2026-01-01T11:24:07.730030+00:00,2026-01-01T11:11:30.900749+00:00,2026-01-01T14:43:21+00:00,2026-01-01T15:11:35+00:00,23 DOOSAN PUMA 700,9,0,0.58,0.21,0.08,5.32,Complete,491
J26-00022,30,WC-INSP,Inspection & Pack,0.0,0.0067,2026-01-01T11:11:30.900749+00:00,2026-01-01T15:34:05.094690+00:00,2026-01-01T22:56:34.027107+00:00,2026-01-01T23:56:35.967543+00:00,,9,0,0.0,2.96,0.05,2.27,Complete,
J26-00023,10,WC-PREP,Material Prep / Cut,0.23,0.0033,2026-01-01T10:24:59.622422+00:00,2026-01-01T12:12:27.709684+00:00,2026-01-01T10:50:06.336700+00:00,2026-01-01T13:01:10.017665+00:00,,6,0,0.35,0.83,0.06,1.32,Complete,
J26-00023,20,WC004,CNC Machining,1.37,0.0636,2026-01-01T11:24:59.622422+00:00,2026-01-01T12:44:59.298602+00:00,2026-01-01T15:12:44+00:00,2026-01-01T15:40:51+00:00,21 DOOSAN PUMA700,6,0,0.28,0.44,0.3,4.89,Complete,276
J26-00023,30,WC-INSP,Inspection & Pack,0.0,0.0036,2026-01-01T12:44:59.298602+00:00,2026-01-01T15:40:26.168413+00:00,2026-01-01T23:03:38.059983+00:00,2026-01-02T01:11:11.931811+00:00,,6,0,0.0,2.74,0.17,2.5,Complete,
J26-00024,10,WC-PREP,Material Prep / Cut,0.31,0.0024,2026-01-01T13:05:51.495030+00:00,2026-01-01T13:46:51.180213+00:00,2026-01-01T13:27:45.308718+00:00,2026-01-01T14:22:48.908489+00:00,,107,0,0.01,0.91,0.19,0.22,Complete,
J26-00024,20,WC005,CNC Machining,0.25,0.0156,2026-01-01T14:05:51.495030+00:00,2026-01-01T15:18:52.419615+00:00,2026-01-01T15:15:57+00:00,2026-01-01T17:35:38+00:00,22 DMU NLX 2500 old,107,0,1.23,1.7,0.28,4.48,Complete,382
J26-00024,30,WC-INSP,Inspection & Pack,0.0,0.0068,2026-01-01T15:18:52.419615+00:00,2026-01-01T18:09:21.224161+00:00,2026-01-02T05:22:39.069027+00:00,2026-01-02T06:09:54.276335+00:00,,107,0,0.0,0.57,0.15,0.71,Complete,
J26-00025,10,WC-PREP,Material Prep / Cut,0.23,0.009,2026-01-01T13:07:15.588404+00:00,2026-01-01T13:51:42.484568+00:00,2026-01-01T13:45:08.809034+00:00,2026-01-01T14:02:52.449672+00:00,,49,0,0.18,1.22,0.04,0.12,Complete,
J26-00025,20,WC010,CNC Machining,1.77,0.0353,2026-01-01T14:07:15.588404+00:00,2026-01-01T17:27:40.223342+00:00,2026-01-01T15:16:41+00:00,2026-01-01T17:36:12+00:00,66 DMU NLX 2500,49,0,0.79,1.68,0.17,4.38,Complete,1108
J26-00025,30,WC-INSP,Inspection & Pack,0.0,0.0053,2026-01-01T17:27:40.223342+00:00,2026-01-01T18:34:12.959475+00:00,2026-01-02T02:47:22.157236+00:00,2026-01-02T03:26:03.951566+00:00,,49,0,0.0,2.17,0.19,0.21,Complete,
J26-00026,10,WC-PREP,Material Prep / Cut,0.34,0.007,2026-01-01T12:01:47.948178+00:00,2026-01-01T13:44:14.502635+00:00,2026-01-01T12:24:03.047232+00:00,2026-01-01T14:43:00.885660+00:00,,4,0,0.29,0.66,0.1,0.46,Complete,
J26-00026,20,WC006,CNC Machining,0.86,0.0436,2026-01-01T13:01:47.948178+00:00,2026-01-01T13:50:23.528209+00:00,2026-01-01T15:27:41+00:00,2026-01-01T15:43:24+00:00,23 DOOSAN PUMA 700,4,0,1.51,0.18,0.38,5.8,Complete,492
J26-00026,30,WC-INSP,Inspection & Pack,0.0,0.006,2026-01-01T13:50:23.528209+00:00,2026-01-01T16:13:14.965138+00:00,2026-01-01T17:55:10.267191+00:00,2026-01-01T18:10:52.381607+00:00,,4,0,0.0,2.25,0.11,2.94,Complete,
J26-00027,10,WC-PREP,Material Prep / Cut,0.33,0.0062,2026-01-01T14:00:41.214639+00:00,2026-01-01T14:52:22.130836+00:00,2026-01-01T14:09:54.394079+00:00,2026-01-01T15:45:02.319117+00:00,,37,1,0.35,0.75,0.14,1.48,Complete,
J26-00027,20,WC008,CNC Machining,1.46,0.0161,2026-01-01T15:00:41.214639+00:00,2026-01-01T16:27:38.267541+00:00,2026-01-01T15:47:42+00:00,2026-01-01T16:47:34+00:00,41 DMU NLX2500,37,1,0.78,0.63,0.36,3.23,Complete,814
J26-00027,30,WC-INSP,Inspection & Pack,0.0,0.0056,2026-01-01T16:27:38.267541+00:00,2026-01-01T20:39:36.338743+00:00,2026-01-01T22:45:59.500347+00:00,2026-01-01T23:15:42.675243+00:00,,37,0,0.0,2.53,0.19,0.61,Complete,
J26-00028,10,WC-PREP,Material Prep / Cut,0.14,0.0079,2026-01-01T13:30:25.205156+00:00,2026-01-01T15:15:49.273645+00:00,2026-01-01T13:44:48.305604+00:00,2026-01-01T16:15:07.571207+00:00,,2,0,0.05,1.68,0.1,1.5,Complete,
J26-00028,20,WC006,CNC Machining,0.43,0.0569,2026-01-01T14:30:25.205156+00:00,2026-01-01T14:16:33.451751+00:00,2026-01-01T15:55:16+00:00,2026-01-01T16:03:44+00:00,23 DOOSAN PUMA 700,2,0,0.51,0.11,0.39,3.94,Complete,493
J26-00028,30,WC-INSP,Inspection & Pack,0.0,0.0017,2026-01-01T14:16:33.451751+00:00,2026-01-01T14:54:29.151128+00:00,2026-01-01T17:37:12.502595+00:00,2026-01-01T19:44:36.061452+00:00,,2,0,0.0,0.83,0.08,2.92,Complete,
J26-00029,10,WC-PREP,Material Prep / Cut,0.39,0.0071,2026-01-01T08:38:03.931168+00:00,2026-01-01T09:44:08.208632+00:00,2026-01-01T08:43:44.845970+00:00,2026-01-01T10:24:42.447855+00:00,,3,0,0.27,0.43,0.05,1.28,Complete,
J26-00029,20,WC004,CNC Machining,0.87,0.0436,2026-01-01T09:38:03.931168+00:00,2026-01-01T10:17:31.902846+00:00,2026-01-01T15:58:19+00:00,2026-01-01T16:16:33+00:00,21 DOOSAN PUMA700,3,0,1.03,0.18,0.11,3.86,Complete,277
J26-00029,30,WC-INSP,Inspection & Pack,0.0,0.0031,2026-01-01T10:17:31.902846+00:00,2026-01-01T11:44:56.741743+00:00,2026-01-02T00:36:20.304776+00:00,2026-01-02T02:14:27.864688+00:00,,3,0,0.0,1.11,0.13,2.81,Complete,
J26-00030,10,WC-PREP,Material Prep / Cut,0.39,0.007,2026-01-01T09:52:21.416157+00:00,2026-01-01T11:35:58.916923+00:00,2026-01-01T10:17:31.215135+00:00,2026-01-01T12:13:40.574121+00:00,,76,0,0.25,1.15,0.07,0.18,Complete,
J26-00030,20,WC007,CNC Machining,0.27,0.0161,2026-01-01T10:52:21.416157+00:00,2026-01-01T12:14:06.969069+00:00,2026-01-01T16:03:07+00:00,2026-01-01T17:26:32+00:00,24 DOOSAN PUMA 3100L,76,0,0.61,1.18,0.03,1.58,Complete,709
J26-00030,30,WC-INSP,Inspection & Pack,0.0,0.003,2026-01-01T12:14:06.969069+00:00,2026-01-01T16:26:44.432960+00:00,2026-01-01T17:59:44.537979+00:00,2026-01-01T19:47:01.619441+00:00,,76,0,0.0,0.88,0.15,1.8,Complete,
J26-00031,10,WC-PREP,Material Prep / Cut,0.2,0.0055,2026-01-01T10:06:34.343123+00:00,2026-01-01T11:08:28.558874+00:00,2026-01-01T10:41:23.818193+00:00,2026-01-01T11:44:35.483226+00:00,,5,1,0.18,1.45,0.19,0.89,Complete,
J26-00031,20,WC006,CNC Machining,0.98,0.0586,2026-01-01T11:06:34.343123+00:00,2026-01-01T11:50:49.947312+00:00,2026-01-01T16:16:21+00:00,2026-01-01T17:05:27+00:00,23 DOOSAN PUMA 700,5,0,0.39,0.31,0.2,0.63,Complete,494
J26-00031,30,WC-INSP,Inspection & Pack,0.0,0.0056,2026-01-01T11:50:49.947312+00:00,2026-01-01T16:37:28.550364+00:00,2026-01-01T21:42:17.889354+00:00,2026-01-01T23:16:13.573406+00:00,,5,0,0.0,2.43,0.1,1.9,Complete,
J26-00032,10,WC-PREP,Material Prep / Cut,0.13,0.0069,2026-01-01T15:14:04.621665+00:00,2026-01-01T16:12:34.353717+00:00,2026-01-01T15:19:11.985327+00:00,2026-01-01T16:33:17.157031+00:00,,10,0,0.35,1.24,0.21,1.49,Complete,
J26-00032,20,WC004,CNC Machining,0.55,0.0544,2026-01-01T16:14:04.621665+00:00,2026-01-01T16:30:00.846565+00:00,2026-01-01T16:29:30+00:00,2026-01-01T17:09:48+00:00,21 DOOSAN PUMA700,10,0,1.11,0.59,0.05,1.65,Complete,278
J26-00032,30,WC-INSP,Inspection & Pack,0.0,0.0039,2026-01-01T16:30:00.846565+00:00,2026-01-01T21:05:04.144806+00:00,2026-01-01T21:53:53.686466+00:00,2026-01-01T23:16:45.714506+00:00,,10,0,0.0,2.02,0.06,2.47,Complete,
J26-00033,10,WC-PREP,Material Prep / Cut,0.13,0.0032,2026-01-01T13:31:36.763446+00:00,2026-01-01T14:03:46.655964+00:00,2026-01-01T13:39:20.754346+00:00,2026-01-01T14:42:03.013498+00:00,,27,0,0.21,1.88,0.3,1.23,Complete,
J26-00033,20,WC008,CNC Machining,0.33,0.0567,2026-01-01T14:31:36.763446+00:00,2026-01-01T16:08:45.912239+00:00,2026-01-01T17:00:37+00:00,2026-01-01T19:25:05+00:00,41 DMU NLX2500,27,1,0.93,1.67,0.18,0.51,Complete,815
